rating,island,USWest,USEast,Japan
   Excellent,Oahu,81.1  ,82.7  ,77.6  
   Above average,Oahu,16.1  ,14.9  ,21.6  
   Below average,Oahu,2.4  ,2.4  ,0.8  
   Poor,Oahu,0.4  ,0.0  ,0.1  
   Excellent,Maui,89.0  ,91.1  ,75.0  
   Above average,Maui,9.4  ,7.5  ,24.2  
   Below average,Maui,1.5  ,1.3  ,0.8  
   Poor,Maui,0.1  ,0.1  ,0.0  
   Excellent,Molokai,95.3  ,92.1  ,65.8  
   Above average,Molokai,4.7  ,7.9  ,34.2  
   Below average,Molokai,0.0  ,0.0  ,0.0  
   Poor,Molokai,0.0  ,0.0  ,0.0  
   Excellent,Lanai,89.3  ,89.6  ,56.7  
   Above average,Lanai,6.7  ,8.9  ,43.3  
   Below average,Lanai,4.0  ,1.5  ,0.0  
   Poor,Lanai,0.0  ,0.0  ,0.0  
   Excellent,Hilo,81.8  ,80.8  ,70.8  
   Above average,Hilo,16.1  ,16.4  ,26.9  
   Below average,Hilo,2.0  ,2.7  ,1.7  
   Poor,Hilo,0.0  ,0.1  ,0.5  
   Excellent,Kona,87.1  ,88.1  ,84.1  
   Above average,Kona,11.7  ,10.3  ,14.4  
   Below average,Kona,1.2  ,1.4  ,1.2  
   Poor,Kona,0.0  ,0.1  ,0.3  
   Excellent,Kauai,91.9  ,94.5  ,82.3  
   Above average,Kauai,7.4  ,5.0  ,16.0  
   Below average,Kauai,0.7  ,0.5  ,1.7  
   Poor,Kauai,0.1  ,0.1  ,0.0  