Category,island,Expenditures
Food,Maui,10196
Alcoholic beverages,Maui,1024
Housing,Maui,26277
Apparel and services,Maui,1268
Transportation,Maui,10226
Health care,Maui,4646
Entertainment,Maui,1738
Food,Hawaii,7420
Alcoholic beverages,Hawaii,715
Housing,Hawaii,20921
Apparel and services,Hawaii,873
Transportation,Hawaii,8405
Health care,Hawaii,3924
Entertainment,Hawaii,1167
Food,Kauai,9638
Alcoholic beverages,Kauai,934
Housing,Kauai,26819
Apparel and services,Kauai,1268
Transportation,Kauai,10836
Health care,Kauai,4261
Entertainment,Kauai,1398
Food,Honolulu,9171
Alcoholic beverages,Honolulu,697
Housing,Honolulu,26980
Apparel and services,Honolulu,1206
Transportation,Honolulu,8714
Health care,Honolulu,3610
Entertainment,Honolulu,1567
Food,Honolulu_2016,"10,036"
Alcoholic beverages,Honolulu_2016,658
Housing,Honolulu_2016,"24,355"
Apparel and services,Honolulu_2016,"1,667"
Transportation,Honolulu_2016,"7,391"
Healthcare,Honolulu_2016,"3,977"
Entertainment,Honolulu_2016,"3,285"
Food,SF_2016,"8,918"
Alcoholic beverages,SF_2016,875
Housing,SF_2016,"32,656"
Apparel and services,SF_2016,"1,878"
Transportation,SF_2016,"7,994"
Healthcare,SF_2016,"5,013"
Entertainment,SF_2016,"3,413"
Food,Seattle_2016,"10,958"
Alcoholic beverages,Seattle_2016,986
Housing,Seattle_2016,"26,965"
Apparel and services,Seattle_2016,"3,884"
Transportation,Seattle_2016,"12,810"
Healthcare,Seattle_2016,"5,546"
Entertainment,Seattle_2016,"4,295"
Food,Phonix_2016,"6,856"
Alcoholic beverages,Phonix_2016,485
Housing,Phonix_2016,"19,491"
Apparel and services,Phonix_2016,"1,635"
Transportation,Phonix_2016,"9,985"
Healthcare,Phonix_2016,"5,328"
Entertainment,Phonix_2016,"3,138"