Year,Hilo ,Kona,Molokai,Kauai,Lanai,Maui,Oahu
2018,4.15,6.91,4.15,7.48,3.41,8.07,6.9
2017,4.07,6.8,4.07,7.5,3.39,8.03,6.75
2016,4.03,6.2,4.86,7.1,3.32,8.9,6.21
2015,4.21,6,4.54,7.4,3.21,8.2,6.32
2014,4,5.9,4.32,7.32,3.12,8.8,6.89
2013,4.12,6.5,4.56,7.12,3.42,8.1,6.34
2012,4.15,6.3,4.12,7.43,3.51,8.45,6.76
2010,4.44,6.1,4.65,7.31,3.56,8.75,6.01
2011,4.33,6.43,5.11,7.2,3.12,10.23,5.59
2009,4.5,6.72,4.98,7.98,3.45,8.32,6.9
2008,4.33,6.43,4.11,7.2,3.12,8.23,5.59
2007,4.33,6.43,5.11,7.2,3.12,10.23,5.59